date,title,type
2026-08-07,国际复材:关于总经理辞职暨聘任总经理的公告,高管人员任职变动
2026-08-07,国际复材:第三届董事会第十九次会议决议公告,"高管人员任职变动,董事会决议公告"
2026-07-22,国际复材:关于董事长辞职暨提名公司第三届董事会非独立董事候选人的公告,高管人员任职变动
2026-07-22,国际复材:关于续聘公司2026年度审计机构的公告,审计机构变更
2026-07-22,国际复材:关于召开2026年第二次临时股东会的通知,召开股东大会通知
2026-07-22,国际复材:第三届董事会第十八次会议决议公告,"高管人员任职变动,董事会决议公告"
2026-07-20,国际复材:2026年半年度业绩预告,业绩预告
2026-06-26,国际复材:股票交易异常波动的公告,股票交易异常波动
2026-06-25,国际复材:2025年年度权益分派实施公告,分配方案实施
2026-06-24,国际复材:关于持股5%以上股东减持计划实施完成的公告,股东/实际控制人股份减持
2026-06-15,国际复材:股票交易异常波动的公告,股票交易异常波动
2026-06-04,国际复材:关于公司持股5%以上股东权益变动触及5%及1%刻度的提示性公告,权益变动报告书
2026-06-04,国际复材:重庆国际复合材料股份有限公司简式权益变动报告书,权益变动报告书
2026-05-29,国际复材:关于持股5%以上股东减持股份触及1%整数倍的公告,股东/实际控制人股份减持
2026-05-25,国际复材:关于持股5%以上股东减持股份触及1%整数倍的公告,股东/实际控制人股份减持
2026-05-22,国际复材:开源证券股份有限公司关于重庆国际复合材料股份有限公司2025年度持续督导培训情况的报告,保荐/核查意见
2026-05-22,国际复材:开源证券股份有限公司关于重庆国际复合材料股份有限公司2025年度持续督导定期现场检查报告,保荐/核查意见
2026-05-20,国际复材:第三届董事会第十七次会议决议公告,董事会决议公告
2026-05-20,国际复材:对外担保管理制度,管理办法/制度
2026-05-15,国际复材:2025年年度股东会法律意见书,法律意见书
2026-05-15,国际复材:2025年年度股东会决议公告,"分配方案决议公告,股东大会决议公告"
2026-05-13,国际复材:关于持股5%以上股东减持股份触及1%整数倍的公告,股东/实际控制人股份减持
2026-05-13,国际复材:2026年5月13日投资者关系活动记录表,调研活动
2026-05-11,国际复材:关于举行2025年年度暨2026年一季度网上业绩说明会的公告,其他
2026-04-29,国际复材:开源证券股份有限公司关于重庆国际复合材料股份有限公司2025年度持续督导跟踪报告,保荐/核查意见
2026-04-28,国际复材:2026年一季度报告,一季度报告全文
2026-04-28,国际复材:第三届董事会第十六次会议决议公告,董事会决议公告
2026-04-23,国际复材:董事会审计委员会对会计师事务所2025年度履职情况评估报告和履行监督职责情况报告,其他
2026-04-23,国际复材:开源证券股份有限公司关于重庆国际复合材料股份有限公司2025年度内部控制评价报告的核查意见,"保荐/核查意见,内部控制报告"
2026-04-23,国际复材:2025年度内部控制评价报告,内部控制报告
2026-04-23,国际复材:关于2025年度计提资产减值准备的公告,其他
2026-04-23,国际复材:关于云南云天化集团财务有限公司2025年度风险持续评估报告,其他
2026-04-23,国际复材:关于为全资、控股子公司提供2026年度对外担保额度预计的公告,"担保年度额度预计,提供/对外担保公告"
2026-04-23,国际复材:2025年年度审计报告,审计报告
2026-04-23,国际复材:2025年度涉及财务公司关联交易的存款、贷款等金融业务的专项说明,专项说明/独立意见
2026-04-23,国际复材:关于“质量回报双提升”行动方案的进展公告,其他
2026-04-23,国际复材:独立董事2025年年度述职报告(商华军),独立董事述职报告
2026-04-23,国际复材:关于公司及全资、控股子公司2026年度申请综合授信额度的公告,借贷
2026-04-23,国际复材:独立董事2025年年度述职报告(谢岚),独立董事述职报告
2026-04-23,国际复材:独立董事2025年年度述职报告(雷华),独立董事述职报告
2026-04-23,国际复材:2025年度募集资金存放与实际使用情况专项报告,募集资金使用情况报告
2026-04-23,国际复材:开源证券股份有限公司关于重庆国际复合材料股份有限公司预计2026年度及确认2025年度日常关联交易事项的核查意见,保荐/核查意见
2026-04-23,国际复材:董事会及审计委员会关于对带强调事项段的无保留意见内部控制审计报告涉及事项的专项说明,"专项说明/独立意见,内部控制报告"
2026-04-23,国际复材:2025年年度报告,年度报告全文
2026-04-23,国际复材:开源证券股份有限公司关于重庆国际复合材料股份有限公司2025年度募集资金存放与实际使用情况的专项核查意见,保荐/核查意见
2026-04-23,国际复材:董事会对独立董事独立性自查情况的专项报告,自查报告
2026-04-23,国际复材:2025年度非经营性资金占用及其他关联资金往来情况的专项审计说明,保荐/核查意见
2026-04-23,国际复材:2025年年度报告摘要,年度报告摘要
2026-04-23,国际复材:2025年度可持续发展报告,ESG公告
2026-04-23,国际复材:关于预计2026年度及确认2025年度日常关联交易的公告,关联交易
2026-04-23,国际复材:董事会战略委员会工作细则,议事规则/实施细则
2026-04-23,国际复材:内部控制审计报告,"审计报告,内部控制报告"
2026-04-23,国际复材:关于召开2025年年度股东会的通知,召开股东大会通知
2026-04-23,国际复材:第三届董事会第十五次会议决议公告,"分配预案,董事会决议公告"
2026-04-23,国际复材:可持续发展管理制度,管理办法/制度
2026-04-23,国际复材:2025年度非经营性资金占用及其他关联资金往来情况汇总表,资金占用
2026-04-23,国际复材:2026年度财务预算报告,其他
2026-04-23,国际复材:开源证券股份有限公司关于重庆国际复合材料股份有限公司2025年度涉及财务公司关联交易的存款、贷款等金融业务的专项核查意见,保荐/核查意见
2026-04-23,国际复材:2025年度募集资金年度存放与使用情况鉴证报告,保荐/核查意见
2026-04-23,国际复材:关于2025年度利润分配方案的公告,分配预案
2026-04-13,国际复材:关于持股5%以上股东股份减持计划的预披露公告,股东/实际控制人股份减持
2026-03-27,国际复材:董事、高级管理人员薪酬管理制度,管理办法/制度
2026-03-27,国际复材:关于收购控股子公司股权的公告,收购出售资产/股权
2026-03-27,国际复材:第三届董事会第十四次会议决议公告,董事会决议公告
2026-03-09,国际复材:关于调剂担保额度暨为子公司提供担保的进展公告,提供/对外担保公告
2026-02-12,国际复材:股票交易异常波动的公告,股票交易异常波动
2026-02-12,国际复材:关于为全资子公司担保的进展公告,提供/对外担保公告
2026-02-09,国际复材:关于为全资子公司担保的进展公告,提供/对外担保公告
2026-02-05,国际复材:2026年第一次临时股东会法律意见书,法律意见书
2026-02-05,国际复材:第三届董事会第十三次会议决议公告,"高管人员任职变动,董事会决议公告"
2026-02-05,国际复材:关于选举公司董事长、董事会专门委员会委员的公告,高管人员任职变动
2026-02-05,国际复材:2026年第一次临时股东会决议公告,"股东大会决议公告,高管人员任职变动"
2026-02-05,国际复材:市值管理制度,管理办法/制度
2026-01-28,国际复材:2025年度业绩预告,业绩预告
2026-01-22,国际复材:关于非独立董事辞职暨选举职工代表董事的公告,高管人员任职变动
2026-01-21,国际复材:关于董事长退休离任暨提名董事候选人的公告,高管人员任职变动
2026-01-21,国际复材:关于召开2026年第一次临时股东会的通知,召开股东大会通知
2026-01-21,国际复材:第三届董事会第十二次会议决议公告,"高管人员任职变动,董事会决议公告"
2026-01-16,国际复材:关于为全资子公司担保的进展公告,提供/对外担保公告
2026-01-12,国际复材:301526国际复材投资者关系管理信息20260109,调研活动
2025-12-29,国际复材:关于会计估计变更的公告,其他
2025-12-29,国际复材:第三届董事会第十一次会议决议公告,董事会决议公告
2025-12-29,国际复材:关于建设年产3600万米高频高速电子纤维布项目的公告,对外项目投资
2025-12-19,国际复材:301526国际复材投资者关系管理信息20251219,调研活动
2025-12-15,国际复材:301526国际复材投资者关系管理信息20251212,调研活动
2025-12-09,国际复材:301526国际复材投资者关系管理信息20251209,调研活动
2025-12-08,国际复材:关于持股5%以上股东减持计划实施完成的公告,股东/实际控制人股份减持
2025-12-08,国际复材:关于持股5%以上股东减持股份触及1%整数倍的公告,股东/实际控制人股份减持
2025-12-08,国际复材:股票交易异常波动的公告,股票交易异常波动
2025-11-24,国际复材:301526国际复材投资者关系管理信息20251121,调研活动
2025-11-20,国际复材:2025年11月19日投资者关系活动记录表,调研活动
2025-11-01,国际复材:301526国际复材投资者关系管理信息20251101,调研活动
2025-10-31,国际复材:301526国际复材投资者关系管理信息20251031,调研活动
2025-10-30,国际复材:2025年三季度报告,三季度报告全文
2025-10-30,国际复材:第三届董事会第十次会议决议公告,"高管人员任职变动,董事会决议公告"
2025-10-30,国际复材:关于2025年前三季度计提资产减值准备的公告,其他
2025-10-27,国际复材:关于公司持股5%以上股东权益变动触及5%整数倍及触及1%刻度的提示性公告,权益变动报告书
2025-10-27,国际复材:重庆国际复合材料股份有限公司简式权益变动报告书,权益变动报告书
2025-09-12,国际复材:关于持股5%以上股东股份减持计划的预披露公告,股东/实际控制人股份减持
2025-09-12,国际复材:2025年第一次临时股东大会法律意见书,法律意见书
2025-09-12,国际复材:2025年第一次临时股东大会决议公告,股东大会决议公告
2025-09-03,国际复材:开源证券股份有限公司关于重庆国际复合材料股份有限公司2025年半年度持续督导跟踪报告,保荐/核查意见
2025-08-27,国际复材:2025年8月26日投资者关系活动记录表,调研活动
2025-08-26,国际复材:2025年半年度报告摘要,半年度报告摘要
2025-08-26,国际复材:股东会议事规则,议事规则/实施细则
2025-08-26,国际复材:总经理工作细则,议事规则/实施细则
2025-08-26,国际复材:关于增加2025年度日常关联交易额度预计的公告,关联交易
2025-08-26,国际复材:关于撤销监事会并修订《公司章程》的公告,公司章程修订
2025-08-26,国际复材:信息披露管理制度,管理办法/制度
2025-08-26,国际复材:国际复材公司章程,公司章程
2025-08-26,国际复材:2025年半年度募集资金存放与使用情况专项报告,募集资金使用情况报告
2025-08-26,国际复材:内部控制制度,内部控制报告
2025-08-26,国际复材:内幕信息知情人登记管理制度,管理办法/制度
2025-08-26,国际复材:董事会议事规则,议事规则/实施细则
2025-08-26,国际复材:董事会秘书工作细则,议事规则/实施细则
2025-08-26,国际复材:关于增加2025年度担保额度及担保对象的公告,其他担保公告
2025-08-26,国际复材:对外担保管理制度,管理办法/制度
2025-08-26,国际复材:2025年半年度非经营性资金占用及其他关联资金往来情况表,其他
2025-08-26,国际复材:董事、高级管理人员买卖本公司股票管理制度,管理办法/制度
2025-08-26,国际复材:开源证券股份有限公司关于重庆国际复合材料股份有限公司开展外汇衍生品套期保值交易业务的核查意见,保荐/核查意见
2025-08-26,国际复材:董事会决议公告,董事会决议公告
2025-08-26,国际复材:董事会提名委员会工作细则,议事规则/实施细则
2025-08-26,国际复材:募集资金管理制度,管理办法/制度
2025-08-26,国际复材:关于开展外汇衍生品套期保值交易业务的公告,其他
2025-08-26,国际复材:外汇衍生品交易业务管理制度,管理办法/制度
2025-08-26,国际复材:董事会薪酬与考核委员会工作细则,议事规则/实施细则
2025-08-26,国际复材:内部审计制度,管理办法/制度
2025-08-26,国际复材:董事会战略委员会工作细则,议事规则/实施细则
2025-08-26,国际复材:关联交易决策制度,管理办法/制度
2025-08-26,国际复材:监事会决议公告,监事会决议公告
2025-08-26,国际复材:开源证券股份有限公司关于重庆国际复合材料股份有限公司增加2025年度日常关联交易额度预计的核查意见,保荐/核查意见
2025-08-26,国际复材:投资者关系管理制度,管理办法/制度
2025-08-26,国际复材:董事会审计委员会工作细则,议事规则/实施细则
2025-08-26,国际复材:独立董事制度,管理办法/制度
2025-08-26,国际复材:投资管理制度,管理办法/制度
2025-08-26,国际复材:2025年半年度报告,半年度报告全文
2025-08-26,国际复材:关于云南云天化集团财务有限公司2025年半年度风险持续评估报告,其他
2025-08-26,国际复材:关于召开2025年第一次临时股东大会的通知,召开股东大会通知
2025-08-26,国际复材:关于开展外汇套期保值业务的可行性分析报告,其他
2025-08-18,国际复材:重庆国际复合材料股份有限公司股票交易异常波动的公告,股票交易异常波动
2025-08-07,国际复材:重庆国际复合材料股份有限公司关于为全资子公司担保的进展公告,提供/对外担保公告
2025-07-17,国际复材:2025年7月17日投资者关系活动记录表,调研活动
2025-07-08,国际复材:国际复材股票交易异常波动的公告,股票交易异常波动
2025-07-02,国际复材:关于持股5%以上股东减持计划实施完成的公告,股东/实际控制人股份减持
2025-07-02,国际复材:关于持股5%以上股东减持股份触及1%整数倍的公告,股东/实际控制人股份减持
2025-06-26,国际复材:关于持股5%以上股东减持股份触及1%整数倍的公告,股东/实际控制人股份减持
2025-05-27,国际复材:关于持股5%以上股东股份减持计划的预披露公告,股东/实际控制人股份减持
2025-05-16,国际复材:开源证券股份有限公司关于重庆国际复合材料股份有限公司2024年度持续督导定期现场检查报告,保荐/核查意见
2025-05-15,国际复材:2025年5月14日投资者关系活动记录表,调研活动
2025-05-13,国际复材:关于为全资子公司担保的进展公告,提供/对外担保公告
2025-05-06,国际复材:开源证券股份有限公司关于重庆国际复合材料股份有限公司2024年度持续督导培训情况的报告,保荐/核查意见
2025-04-29,国际复材:第三届监事会第六次会议决议公告,监事会决议公告
2025-04-29,国际复材:第三届董事会第八次会议决议公告,董事会决议公告
2025-04-29,国际复材:2025年一季度报告,一季度报告全文
2025-04-25,国际复材:2024年年度股东大会法律意见书,法律意见书
2025-04-25,国际复材:2024年年度股东大会决议公告,"分配方案决议公告,股东大会决议公告"
2025-04-24,国际复材:关于公司募集资金账户全部注销完成的公告,其他
2025-04-15,国际复材:开源证券股份有限公司关于重庆国际复合材料股份有限公司2024年度持续督导跟踪报告,保荐/核查意见
2025-03-28,国际复材:2025年3月28日投资者关系活动记录表,调研活动
2025-03-27,国际复材:2024年度非经营性资金占用及其他关联资金往来情况的专项审计说明,保荐/核查意见
2025-03-27,国际复材:2024年度募集资金存放与实际使用情况专项报告,募集资金使用情况报告
2025-03-27,国际复材:开源证券股份有限公司关于重庆国际复合材料股份有限公司2024年度内部控制评价报告的核查意见,"保荐/核查意见,内部控制报告"
2025-03-27,国际复材:2025年度财务预算报告,其他
2025-03-27,国际复材:关于云南云天化集团财务有限公司2024年度风险持续评估报告,其他
2025-03-27,国际复材:关于续聘公司2025年度审计机构的公告,审计机构变更
2025-03-27,国际复材:2024年度非经营性资金占用及其他关联资金往来情况汇总表,资金占用
2025-03-27,国际复材:关于2024年度计提资产减值准备及核销部分资产的公告,其他
2025-03-27,国际复材:关于2024年度营业收入扣除情况的专项核查意见,保荐/核查意见
2025-03-27,国际复材:开源证券股份有限公司关于重庆国际复合材料股份有限公司与云南云天化集团财务有限公司续签《金融服务协议》暨关联交易的专项核查意见,保荐/核查意见
2025-03-27,国际复材:开源证券股份有限公司关于重庆国际复合材料股份有限公司预计2025年度及确认2024年度日常关联交易事项的核查意见,保荐/核查意见
2025-03-27,国际复材:2024年度募集资金年度存放与使用情况鉴证报告,保荐/核查意见
